months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
1,50,1,2,0.1,2500,0,0.333333333333,3,1000
1.1,50,1.16666666667,2.33286666667,0.1,2500,0.0333333333333,0.388888888889,3,999.8
1.2,50,1.36106444444,2.72094942674,0.1,2500,0.0722222222222,0.453688148148,3,999.566713333
1.3,50,1.5877905723,3.17334114807,0.1,2500,0.117591037037,0.529263524101,3,999.294618391
1.4,50,1.8521983347,3.70060812468,0.1,2500,0.170517389447,0.6173994449,3,998.977284276
1.5,50,2.16051920268,4.31502016445,0.1,2500,0.232257333937,0.720173067559,3,998.607223463
1.6,50,2.52000391237,5.03081344655,0.1,2500,0.304274640693,0.840001304122,3,998.175721447
1.7,50,2.93908512661,5.8644896355,0.1,2500,0.388274771105,0.979695042203,3,997.672640102
1.8,50,3.42756458594,6.83515463575,0.1,2500,0.486244275326,1.14252152865,3,997.086191139
1.9,50,3.99682789665,7.96490002087,0.1,2500,0.60049642819,1.33227596555,3,996.402675675
2,50,4.66009030218,9.2792294613,0.1,2500,0.733724024745,1.55336343406,3,995.606185673
2.1,50,5.43267690491,10.8075312515,0.1,2500,0.889060368151,1.81089230164,3,994.678262727
2.2,50,6.33234079989,12.5835960974,0.1,2500,1.07014959831,2.11078026663,3,993.597509602
2.3,50,7.37962238297,14.6461764056,0.1,2500,1.28122762498,2.45987412766,3,992.339149992
2.4,50,8.59825261076,17.0395790695,0.1,2500,1.52721503774,2.86608420359,3,990.874532351
2.5,50,10.0156020973,19.8142777601,0.1,2500,1.8138234581,3.33853403245,3,989.170574445
2.6,50,11.6631764701,23.0275224539,0.1,2500,2.14767686135,3.88772549004,3,987.189146669
2.7,50,13.5771561665,26.7439127667,0.1,2500,2.53644941035,4.52571872217,3,984.886394423
2.8,50,15.798975571,31.0358868864,0.1,2500,2.98902128257,5.26632519032,3,982.212003146
2.9,50,18.3759317406,35.9840587814,0.1,2500,3.5156538016,6.12531058019,3,979.108414458
3,50,21.3618065607,41.6773122026,0.1,2500,4.12818485962,7.12060218689,3,975.51000858
3.1,50,24.8174775622,48.2125303473,0.1,2500,4.84024507831,8.27249252075,3,971.342277359
3.2,50,28.8114813449,55.6938049236,0.1,2500,5.66749433038,9.60382711497,3,966.521024325
3.3,50,33.4204791258,64.2309287071,0.1,2500,6.62787704188,11.1401597086,3,960.951643832
3.4,50,38.7295560256,73.936933985,0.1,2500,7.74189301274,12.9098520085,3,954.528550962
3.5,50,44.8322642233,84.9244003787,0.1,2500,9.03287821359,14.9440880744,3,947.134857563
3.6,50,51.8302954537,97.3002276514,0.1,2500,10.527287021,17.2767651512,3,938.642417525
3.7,50,59.8326417037,111.15856498,0.1,2500,12.2549635362,19.9442139012,3,928.91239476
3.8,50,68.9540768115,126.571625993,0.1,2500,14.2493849263,22.9846922705,3,917.796538262
3.9,50,79.3127701838,143.578222573,0.1,2500,16.5478541533,26.4375900613,3,905.139375663
4,50,91.026833435,162.170048178,0.1,2500,19.1916131595,30.3422778117,3,890.781553406
4.1,50,104.209610472,182.276061881,0.1,2500,22.2258409406,34.7365368238,3,874.564548588
4.2,50,118.963562977,203.745787554,0.1,2500,25.699494623,39.6545209924,3,856.3369424
4.3,50,135.372689633,226.332947198,0.1,2500,29.6649467222,45.1242298778,3,835.962363644
4.4,50,153.493561365,249.681550702,0.1,2500,34.17736971,51.1645204551,3,813.329068925
4.5,50,173.34526439,273.317262094,0.1,2500,39.2938217555,57.7817547967,3,788.360913854
4.6,50,194.89881512,296.647373887,0.1,2500,45.0719972352,64.9662717066,3,761.029187645
4.7,50,218.066925338,318.972793938,0.1,2500,51.5686244059,72.6889751126,3,731.364450256
4.8,50,242.69530722,339.514799846,0.1,2500,58.8375219171,80.8984357401,3,699.467170862
4.9,50,268.556943631,357.457719761,0.1,2500,66.9273654912,89.5189812103,3,665.515690878
5,50,295.350817486,372.006120752,0.1,2500,75.8792636122,98.4502724954,3,629.769918902
5.1,50,322.706402312,382.451818253,0.1,2500,85.7242908617,107.568800771,3,592.569306827
5.2,50,350.19470406,388.242745816,0.1,2500,96.4811709388,116.73156802,3,554.324125001
5.3,50,377.34582184,389.04342943,0.1,2500,108.154327741,125.781940613,3,515.49985042
5.4,50,403.671970721,384.77649548,0.1,2500,120.732521802,134.557323574,3,476.595507477
5.5,50,428.693887912,375.636895758,0.1,2500,134.188254159,142.897962637,3,438.117857929
5.6,50,451.967781224,362.075157461,0.1,2500,148.478050423,150.655927075,3,400.554168353
5.7,50,473.109704263,344.751874128,0.1,2500,163.543643131,157.703234754,3,364.346652607
5.8,50,491.8145682,324.471184432,0.1,2500,179.313966606,163.9381894,3,329.871465194
5.9,50,507.867867703,302.104537575,0.1,2500,195.707785546,169.289289234,3,297.424346751
6,50,521.149392537,278.516716022,0.1,2500,212.63671447,173.716464179,3,267.213892993
6.1,50,531.629417721,254.503996765,0.1,2500,230.008360887,177.209805907,3,239.362221391
6.2,50,539.358836807,230.750462679,0.1,2500,247.729341478,179.786278936,3,213.911821715
6.3,50,544.455255182,207.804170548,0.1,2500,265.707969372,181.485085061,3,190.836775447
6.4,50,547.08716373,186.071301574,0.1,2500,283.856477878,182.36238791,3,170.056358392
6.5,50,547.458055097,165.82419987,0.1,2500,302.092716669,182.486018366,3,151.449228235
6.6,50,545.791873247,147.218415825,0.1,2500,320.341318505,181.930624416,3,134.866808248
6.7,50,542.320652388,130.314193406,0.1,2500,338.534380947,180.773550796,3,120.144966665
6.8,50,537.274716649,115.098801576,0.1,2500,356.611736026,179.091572216,3,107.113547325
6.9,50,530.875439585,101.507277666,0.1,2500,374.520893248,176.958479862,3,95.6036671669
7,50,523.330319365,89.4402281341,0.1,2500,392.216741234,174.443439788,3,85.4529394003
7.1,50,514.8299982,78.7781707774,0.1,2500,409.661085213,171.6099994,3,76.5089165869
7.2,50,505.546815338,69.3924675799,0.1,2500,426.822085153,168.515605113,3,68.6310995091
7.3,50,495.634501584,61.1532213803,0.1,2500,443.673645664,165.211500528,3,61.6918527511
7.4,50,485.22867367,53.9346524731,0.1,2500,460.194795717,161.742891223,3,55.5765306131
7.5,50,474.447849795,47.6184949178,0.1,2500,476.36908484,158.149283265,3,50.1830653658
7.6,50,463.39477096,42.0959078533,0.1,2500,492.184013166,154.464923653,3,45.421215874
7.7,50,452.15786938,37.2683211876,0.1,2500,507.630505531,150.719289793,3,41.2116250887
